district,chiefdom,name,region,urban/rural ,address,facility_type,ownership,facility_status,gps_altitude,gps_precision,imputed_lat_long,latitude,longitude,geometry,Population,Cell Towers,Courts,Schools,Financial Institutions,Health Facilities,Water Points
Bo,Bo,Foya,South,Rural,Bo,CHP,Govt,Open,291.0,5.0,False,8.28740767,-11.59813099,POINT (-11.59813099 8.28740767),574918,34,26,980,277,128,3778
Bo,Bo,Gbaama,South,Rural,"Gbaama, Jaima Gbongor                             ",CHP,Govt,Open,135.0,5.0,False,7.838454723,-11.61567497,POINT (-11.61567497 7.838454723),574918,34,26,980,277,128,3778
Bo,Bo,Gbotima,South,Urban,Gbotima,CHP,Govt,,,,True,7.962333377,-11.72017069,POINT (-11.72017069 7.962333377),574918,34,26,980,277,128,3778
Bo,Bo,Grima,South,Rural,Grima ,CHP,Govt,Open,112.0,10.0,False,8.237277985,-11.69026089,POINT (-11.69026089 8.237277985),574918,34,26,980,277,128,3778
Bo,Bo,Kandeh Town,South,Urban,KANDEH TOWN COMMUNITY HEALTH POST,CHP,Govt,,,,True,7.960706026,-11.71917612,POINT (-11.71917612 7.960706026),574918,34,26,980,277,128,3778
Bo,Bo,Kpetema -Bumpe Ngao,South,Rural,"Kpetema, Bumpe Ngao                           ",CHP,Govt,,,,True,7.962344957000001,-11.71852874,POINT (-11.71852874 7.962344957000001),574918,34,26,980,277,128,3778
Bo,Bo,Kpetewoma,South,Rural,Kpetewoma village ,CHP,Govt,Open,81.0,5.0,False,7.734585285,-11.81536865,POINT (-11.81536865 7.734585285),574918,34,26,980,277,128,3778
Bo,Bo,Maguama,South,Urban,BO,CHP,Govt,,,,True,7.9618060989999995,-11.7186924,POINT (-11.7186924 7.961806098999999),574918,34,26,980,277,128,3778
Bo,Bo,Mano Jaiama,South,Rural,Jaiama Bongor ,CHP,Govt,,,,True,7.961755557999999,-11.71944932,POINT (-11.71944932 7.961755557999999),574918,34,26,980,277,128,3778
Bo,Bo,Momajo,South,Rural,Momajo,CHP,Govt,,,,True,7.962296433,-11.71972406,POINT (-11.71972406 7.962296433),574918,34,26,980,277,128,3778
Bo,Bo,Morning Star,South,Urban,Kukua A line Off SEWA Rd,CHP,Govt,,,,True,7.960707612999999,-11.72215897,POINT (-11.72215897 7.960707612999999),574918,34,26,980,277,128,3778
Bo,Bo,Nengbema,South,Rural,Lower Niawa Lenga ,CHP,Govt,Open,129.0,20.0,False,8.127129555,-11.652902599999999,POINT (-11.6529026 8.127129555),574918,34,26,980,277,128,3778
Bo,Bo,Nyainyahun,South,Rural,Jaiama Gbongor ,CHP,Govt,,,,True,7.960642074,-11.72027666,POINT (-11.72027666 7.960642074),574918,34,26,980,277,128,3778
Bo,Bo,Pujehun,South,Rural,Bo,CHP,Govt,,,,True,7.964051105,-11.71866637,POINT (-11.71866637 7.964051105),574918,34,26,980,277,128,3778
Bo,Bo,Sembehun 17,South,Rural,"SEMBEHUN 17,TIKONKO CHIEFDOM,BO               ",CHP,Govt,Open,132.0,10.0,False,7.780205727,-11.72431087,POINT (-11.72431087 7.780205727),574918,34,26,980,277,128,3778
Bo,Bo,Simbo Town,South,Urban,Bo,CHP,Govt,Open,148.0,4.0,False,7.9775868,-11.74060242,POINT (-11.74060242 7.9775868),574918,34,26,980,277,128,3778
Bo,Bo,Taninahun - Bumpeh Ngao,South,Rural,"Taninahun vILLAGE, Bumpeh Chiefdom                ",CHP,Govt,,,,True,7.961578209,-11.71847577,POINT (-11.71847577 7.961578209),574918,34,26,980,277,128,3778
Bo,Bo,Tiebor,South,Rural,TIEBOR,CHP,Govt,,,,True,7.9615092999999995,-11.71951511,POINT (-11.71951511 7.961509299999999),574918,34,26,980,277,128,3778
Bo,Bo,Telu,South,Rural,Jaiama Gbongor ,CHP,Govt,Open,133.0,5.0,False,7.802788258,-11.63887405,POINT (-11.63887405 7.802788258),574918,34,26,980,277,128,3778
Bo,Bo,Tungbebu,South,Rural,Tungbebu,CHP,Govt,Open,126.0,25.0,False,7.877196789,-11.53570271,POINT (-11.53570271 7.877196789),574918,34,26,980,277,128,3778
Bo,Bo,Barlie,South,Rural,Barlie,MCHP,Govt,,,,True,7.961522799,-11.71853703,POINT (-11.71853703 7.961522799),574918,34,26,980,277,128,3778
Bo,Bo,Batiama,South,Urban,BATIAMA ,MCHP,Govt,,,,True,7.962121325,-11.71953875,POINT (-11.71953875 7.962121325),574918,34,26,980,277,128,3778
Bo,Bo,Blamawo,South,Rural,Blamawo ,MCHP,Govt,Open,291.0,5.0,False,8.28740767,-11.59813099,POINT (-11.59813099 8.28740767),574918,34,26,980,277,128,3778
Bo,Bo,Bontiwo,South,Rural,Bontiwo community ,MCHP,Govt,,,,True,7.962277512000001,-11.71911418,POINT (-11.71911418 7.962277512000001),574918,34,26,980,277,128,3778
Bo,Bo,Buma,South,Rural,"Buma, Bumpe Ngao.                            ",MCHP,Govt,Open,74.0,20.0,False,7.739222527000001,-11.97413063,POINT (-11.97413063 7.739222527000001),574918,34,26,980,277,128,3778
Bo,Bo,Bumkaku,South,Rural,BUMKAKU ,MCHP,Govt,Open,67.0,25.0,False,7.505185127000001,-11.87742138,POINT (-11.87742138 7.505185127000001),574918,34,26,980,277,128,3778
Bo,Bo,Bumpeh -Bumpe Ngao,South,Rural,"Bumpeh - Bumpeh Ngao Chiefdom, Bo District        ",MCHP,Private,,,,True,7.962051578,-11.72029836,POINT (-11.72029836 7.962051578),574918,34,26,980,277,128,3778
Bo,Bo,Fanima -Wonde,South,Rural,Fanima,MCHP,Govt,,,,True,7.964362373999999,-11.71867175,POINT (-11.71867175 7.964362373999999),574918,34,26,980,277,128,3778
Bo,Bo,Favour,South,Urban,Bo,MCHP,Govt,Open,291.0,5.0,False,8.28740767,-11.59813099,POINT (-11.59813099 8.28740767),574918,34,26,980,277,128,3778
Bo,Bo,Fengehun,South,Urban,FENGEHUN,MCHP,Govt,Open,291.0,5.0,False,8.28740767,-11.59813099,POINT (-11.59813099 8.28740767),574918,34,26,980,277,128,3778
Bo,Bo,Fullawahun,South,Urban,Bo,MCHP,Govt,,,,True,7.962204035,-11.71971191,POINT (-11.71971191 7.962204035),574918,34,26,980,277,128,3778
Bo,Bo,Gbangba,South,Rural,Bo,MCHP,Govt,,,,True,7.964110269,-11.71906538,POINT (-11.71906538 7.964110269),574918,34,26,980,277,128,3778
Bo,Bo,Gbangbalia,South,Rural,"Gbangbalia, Bagbo                                 ",MCHP,Govt,,,,True,7.96315505,-11.72039054,POINT (-11.72039054 7.96315505),574918,34,26,980,277,128,3778
Bo,Bo,Gbanja Town,South,Urban,Gbanja Town ,MCHP,Govt,Open,136.0,5.0,False,7.989592552,-11.74341965,POINT (-11.74341965 7.989592552),574918,34,26,980,277,128,3778
Bo,Bo,Gbongboma,South,Urban,Gbongboma ,MCHP,Govt,Open,178.0,10.0,False,8.030580521000001,-11.78616905,POINT (-11.78616905 8.030580521000001),574918,34,26,980,277,128,3778
Bo,Bo,Golu,South,Rural,Gollu,MCHP,Govt,,,,True,7.962440944,-11.72086742,POINT (-11.72086742 7.962440944),574918,34,26,980,277,128,3778
Bo,Bo,Griema,South,Rural,"Griema Village, Tikonko Chiefdom, Bo District     ",MCHP,Govt,,,,True,7.962798467000001,-11.72089147,POINT (-11.72089147 7.962798467000001),574918,34,26,980,277,128,3778
Bo,Bo,Heima,South,Rural,Heima community,MCHP,Govt,,,,True,7.963153365,-11.71983917,POINT (-11.71983917 7.963153365),574918,34,26,980,277,128,3778
Bo,Bo,Kakama,South,Rural,Kakama,MCHP,Govt,Open,35.0,15.0,False,7.635780334,-11.75972939,POINT (-11.75972939 7.635780334),574918,34,26,980,277,128,3778
Bo,Bo,Kambawama,South,Rural,kambawama,MCHP,Govt,Open,224.0,20.0,False,7.762959003,-11.47432327,POINT (-11.47432327 7.762959003),574918,34,26,980,277,128,3778
Bo,Bo,Karleh,South,Rural,Karleh,MCHP,Govt,,,,True,7.961847838,-11.71882555,POINT (-11.71882555 7.961847838),574918,34,26,980,277,128,3778
Bo,Bo,Kassama,South,Rural,"Kassama Village, Tikonko Chiefdom, Bo District    ",MCHP,Govt,Open,63.0,5.0,False,7.794223785,-11.83146,POINT (-11.83146 7.794223785),574918,34,26,980,277,128,3778
Bo,Bo,Kasse,South,Rural,Kasse,MCHP,Govt,,,,True,7.963610119,-11.72017258,POINT (-11.72017258 7.963610119),574918,34,26,980,277,128,3778
Bo,Bo,Kigbai,South,Rural,Kigbai,MCHP,Govt,Open,126.0,20.0,False,7.868813515,-11.50515842,POINT (-11.50515842 7.868813515),574918,34,26,980,277,128,3778
Bo,Bo,Komboya Gbauja,South,Rural,Komboya ,MCHP,Govt,,,,True,7.960556183,-11.71977478,POINT (-11.71977478 7.960556183),574918,34,26,980,277,128,3778
Bo,Bo,Kondiama,South,Rural,Kondiama,MCHP,Govt,Open,-656.0,15.0,False,8.060456276,-11.49713135,POINT (-11.49713135 8.060456276),574918,34,26,980,277,128,3778
Bo,Bo,Korbu,South,Rural,Korbu,MCHP,Govt,Open,138.0,10.0,False,8.065914154,-11.67522717,POINT (-11.67522717 8.065914154),574918,34,26,980,277,128,3778
Bo,Bo,Kpamajama,South,Rural,Bo,MCHP,Govt,Closed,326.0,10.0,False,8.300182343,-11.49614811,POINT (-11.49614811 8.300182342999999),574918,34,26,980,277,128,3778
Bo,Bo,Kpewama,South,Rural,Kpewama ,MCHP,Govt,Closed,,,True,7.961293582000001,-11.71898081,POINT (-11.71898081 7.961293582000001),574918,34,26,980,277,128,3778
Bo,Bo,Kpuabu,South,Rural,Valunia ,MCHP,Govt,Open,126.0,4.0,False,8.19201489,-11.74349955,POINT (-11.74349955 8.192014889999999),574918,34,26,980,277,128,3778
Bo,Bo,Kpumbu,South,Rural,Kpumbu,MCHP,Govt,Open,121.0,5.0,False,8.32271359,-11.73481902,POINT (-11.73481902 8.322713589999999),574918,34,26,980,277,128,3778
Bo,Bo,Lowama,South,Rural,lowoma community,MCHP,Govt,,,,True,7.964300631,-11.720005300000002,POINT (-11.7200053 7.964300631),574918,34,26,980,277,128,3778
Bo,Bo,Makayonie,South,Rural,"Makayonie,BUMPE-NGAO                         ",MCHP,Govt,,,,True,7.962052374,-11.71901005,POINT (-11.71901005 7.962052374),574918,34,26,980,277,128,3778
Bo,Bo,Mano Yorgbo,South,Rural,Mano Yogbo ,MCHP,Govt,Open,87.0,10.0,False,7.558355808,-11.86902046,POINT (-11.86902046 7.558355808),574918,34,26,980,277,128,3778
Bo,Bo,Massah Memorial Maternity,South,Urban,Bo,MCHP,Govt,,,,True,7.961680351,-11.71887077,POINT (-11.71887077 7.961680351),574918,34,26,980,277,128,3778
Bo,Bo,Mattru On The Rail,South,Rural,Mattru on the Rail,MCHP,Govt,,,,True,7.961582093,-11.71917415,POINT (-11.71917415 7.961582093),574918,34,26,980,277,128,3778
Bo,Bo,Mbundorbu,South,Rural,Mbundorbu,MCHP,Govt,Open,122.0,15.0,False,7.923382282,-11.51103973,POINT (-11.51103973 7.923382282),574918,34,26,980,277,128,3778
Bo,Bo,Mendewa,South,Rural,Mendewa Bagbwe ,MCHP,Govt,Open,403.0,25.0,False,8.161310196,-11.4838295,POINT (-11.4838295 8.161310196000001),574918,34,26,980,277,128,3778
Bo,Bo,Mid Land,South,Urban,MIDLAND ,MCHP,Govt,Open,125.0,5.0,False,7.966910362,-11.76844788,POINT (-11.76844788 7.966910362),574918,34,26,980,277,128,3778
Bo,Bo,Mokoba,South,Rural,"Mokaba Village, Bumpeh Ngao Chiefdom, Bo District ",MCHP,Govt,Open,79.0,10.0,False,7.757890224,-11.94809818,POINT (-11.94809818 7.757890224),574918,34,26,980,277,128,3778
Bo,Bo,Mokpende,South,Rural,"Mokpende,Bumpe Ngao                          ",MCHP,Govt,,,,True,7.962453681,-11.7184441,POINT (-11.7184441 7.962453681),574918,34,26,980,277,128,3778
Bo,Bo,Nafaya,South,Urban,,MCHP,Govt,Open,136.0,4.0,False,7.96969958,-11.76152732,POINT (-11.76152732 7.96969958),574918,34,26,980,277,128,3778
Bo,Bo,Ndegbomie Clinic,South,Urban,Bo,MCHP,Govt,,,,True,7.962221153,-11.71948879,POINT (-11.71948879 7.962221153),574918,34,26,980,277,128,3778
Bo,Bo,Nduvuibu,South,Urban,Kukua,MCHP,Govt,,,,True,7.962318814,-11.71843388,POINT (-11.71843388 7.962318814),574918,34,26,980,277,128,3778
Bo,Bo,Ngieyehun,South,Rural,Ngieyehun community,MCHP,Govt,,,,True,7.962156076,-11.71942769,POINT (-11.71942769 7.962156076),574918,34,26,980,277,128,3778
Bo,Bo,Ngogbebu,South,Rural,Ngogbebu,MCHP,Govt,Open,324.0,10.0,False,8.214434623999999,-11.55042362,POINT (-11.55042362 8.214434623999999),574918,34,26,980,277,128,3778
Bo,Bo,Ngolahun Jabaty,South,Rural,Ngolahun Jabaty,MCHP,Govt,,,,True,7.9627539039999995,-11.71991154,POINT (-11.71991154 7.962753903999999),574918,34,26,980,277,128,3778
Bo,Bo,Niagorehun,South,Rural,Niagorehun ,MCHP,Govt,Open,119.0,10.0,False,7.681844234,-11.76839924,POINT (-11.76839924 7.681844234),574918,34,26,980,277,128,3778
Bo,Bo,Niagorehun,South,Rural,Niagorehun-Komboya,MCHP,Govt,Open,119.0,10.0,False,7.681844234,-11.76839924,POINT (-11.76839924 7.681844234),574918,34,26,980,277,128,3778
Bo,Bo,Buma,South,Rural,Bagbwe,MCHP,Govt,Open,74.0,20.0,False,7.739222527000001,-11.97413063,POINT (-11.97413063 7.739222527000001),574918,34,26,980,277,128,3778
Bo,Bo,Sembehun Tarbey,South,Rural,"Sembehun Tarbey Village, Tikonko Chiefdom, Bo     ",MCHP,Govt,,,,True,7.962038252999999,-11.72047673,POINT (-11.72047673 7.962038252999999),574918,34,26,980,277,128,3778
Bo,Bo,Sembehun Mamangewor,South,Rural,"Sembehun Mamangewor village, Gbo C/Dom, Bo        ",MCHP,Govt,,,,True,7.961145984,-11.71918745,POINT (-11.71918745 7.961145984),574918,34,26,980,277,128,3778
Bo,Bo,Tengbewabu,South,Urban,Tengbewabu,MCHP,Govt,Open,-139.0,20.0,False,7.961566447999999,-11.72290611,POINT (-11.72290611 7.961566447999999),574918,34,26,980,277,128,3778
Bo,Bo,Unimus,South,Urban,UNIMUS,MCHP,Govt,,,,True,7.961678511000001,-11.71948658,POINT (-11.71948658 7.961678511000001),574918,34,26,980,277,128,3778
Bo,Bo,Upper Saama,South,Rural,Upper Saama,MCHP,Govt,,,,True,7.962880945,-11.71941402,POINT (-11.71941402 7.962880945),574918,34,26,980,277,128,3778
Bo,Bo,Wallehun,South,Rural,"Wallehun Village, Bumpeh Chiefdom                 ",MCHP,Govt,,,,True,7.96096135,-11.71905435,POINT (-11.71905435 7.96096135),574918,34,26,980,277,128,3778
Bo,Bo,Yakaji,South,Rural,Yakaji,MCHP,Govt,Open,165.0,10.0,False,8.004195213,-11.42768574,POINT (-11.42768574 8.004195212999999),574918,34,26,980,277,128,3778
Bo,Bo,Torkpoi Town,South,Urban,Bo,MCHP,Govt,,,,True,7.962519362,-11.71913479,POINT (-11.71913479 7.962519362),574918,34,26,980,277,128,3778
Bo,Bo,Gender,South,Urban,kukua Yemor Town,MCHP,Govt,,,,True,7.962529655,-11.71999081,POINT (-11.71999081 7.962529655),574918,34,26,980,277,128,3778
Bo,Bo,Jalihun,South,Rural,JALIHUN,CHC, NGO,,,,True,7.963359945,-11.71808097,POINT (-11.71808097 7.963359945),574918,34,26,980,277,128,3778
Bo,Bo,Dougountoni Hospital,South,Urban,DOUGOUNTONI HOSPITAL ,HOSPITAL,Private,,,,True,7.9625903860000005,-11.71971682,POINT (-11.71971682 7.962590386),574918,34,26,980,277,128,3778
Bo,Bo,Kagbiama,South,Rural,"Kagbiama, Bunpe Ngao                         ",MCHP,Govt,,,,True,7.963730231,-11.72054641,POINT (-11.72054641 7.963730231),574918,34,26,980,277,128,3778
Bo,Bo,Njandama,South,Rural,Njandama,MCHP,Govt,Open,133.0,10.0,False,8.039666176,-11.44923401,POINT (-11.44923401 8.039666176000001),574918,34,26,980,277,128,3778
Bo,Bo,Grima,East,Rural,Grima,MCHP,Govt,Open,112.0,10.0,False,8.237277985,-11.69026089,POINT (-11.69026089 8.237277985),574918,34,26,980,277,128,3778
Bo,Bo,Kaniya,South,Rural,"Kaniya,Bumpe Ngao.                           ",MCHP,Govt,Open,71.0,15.0,False,7.681904792999999,-11.99363518,POINT (-11.99363518 7.681904792999999),574918,34,26,980,277,128,3778
Bo,Bo,Damballa,South,Rural,Dambala,CHC,Govt,Open,127.0,5.0,False,8.12085247,-11.70363331,POINT (-11.70363331 8.120852470000001),574918,34,26,980,277,128,3778
Bo,Bo,Jembe,South,Rural,Jembe,CHC,Govt,Open,148.0,5.0,False,7.919556618,-11.42831326,POINT (-11.42831326 7.919556618),574918,34,26,980,277,128,3778
Bo,Bo,Koribondo,South,Rural,koribondo community,CHC,Govt,Open,993.0,10.0,False,7.70810461,-11.69728184,POINT (-11.69728184 7.70810461),574918,34,26,980,277,128,3778
Bo,Bo,Ngalu,South,Rural,Bagbwe,CHC,Govt,Open,151.0,10.0,False,8.105888367,-11.55922508,POINT (-11.55922508 8.105888367),574918,34,26,980,277,128,3778
Bo,Bo,Njandama,South,,,MCHP,,Open,133.0,10.0,False,8.039666176,-11.44923401,POINT (-11.44923401 8.039666176000001),574918,34,26,980,277,128,3778
Pujehun,Pujehun,Kowama,South,Urban,Kowama,CHC,Govt,Open,79.0,5.0,False,7.43660234,-11.57049085,POINT (-11.57049085 7.43660234),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Gbahama,South,Rural,Gbahama ,CHP,Govt,Open,105.0,5.0,False,7.29772642,-11.34508949,POINT (-11.34508949 7.29772642),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Bandajuma,South,Urban,Bo,MCHP,Govt,Open,76.0,5.0,False,7.36929045,-11.40865854,POINT (-11.40865854 7.36929045),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Bendu,South,Rural,Bendu Town ,CHC,Govt,Open,48.0,5.0,False,7.17635157,-11.90633216,POINT (-11.90633216 7.17635157),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Bayama,East,Rural,Bayama,CHP,Govt,Open,81.0,5.0,False,7.57797891,-11.82113578,POINT (-11.82113578 7.57797891),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Bendu,East,Rural,Bendu town ,CHP,Govt,Open,48.0,5.0,False,7.17635157,-11.90633216,POINT (-11.90633216 7.17635157),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Gbahama,East,Rural,Gbahama ,CHP,Govt,Open,105.0,5.0,False,7.29772642,-11.34508949,POINT (-11.34508949 7.29772642),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Nyandehun,East,Rural,nyandehun,CHP,Govt,Open,72.0,5.0,False,7.22428754,-11.70980263,POINT (-11.70980263 7.22428754),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Bandajuma,East,,,CHC,,Open,76.0,5.0,False,7.36929045,-11.40865854,POINT (-11.40865854 7.36929045),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Pejewa,East,,,CHP,,Open,115.0,52.0,False,7.58725678,-11.50629559,POINT (-11.50629559 7.58725678),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Bendu,East,Rural,Bendu,CHC,Govt,Open,48.0,5.0,False,7.17635157,-11.90633216,POINT (-11.90633216 7.17635157),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Konia,East,Rural,Konia,MCHP,Govt,Open,112.0,5.0,False,7.45900278,-11.42769694,POINT (-11.42769694 7.45900278),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Nyandehun,East,Rural,NYANDEHUN,MCHP,Govt,Open,72.0,5.0,False,7.22428754,-11.70980263,POINT (-11.70980263 7.22428754),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Falaba,North,Rural,Falaba,CHC,Govt,Open,96.0,5.0,False,7.42097616,-11.53064897,POINT (-11.53064897 7.42097616),346461,9,18,343,33,99,1111
Pujehun,Pujehun,Bandasuma,East,Rural,Bandasuma,MCHP,Govt,Open,10.0,5.0,False,7.22401532,-11.84247753,POINT (-11.84247753 7.22401532),346461,9,18,343,33,99,1111
